video_title;video_url
大外刈 / O-soto-gari;https://www.youtube.com/watch?v=c-A_nP7mKAc
大内刈 / O-uchi-gari;https://www.youtube.com/watch?v=0itJFhV9pDQ
小外刈 / Ko-soto-gari;https://www.youtube.com/watch?v=jeQ541ScLB4
小内刈 / Ko-uchi-gari;https://www.youtube.com/watch?v=3Jb3tZvr9Ng
送足払 / Okuri-ashi-harai;https://www.youtube.com/watch?v=nw1ZdRjrdRI
内股 / Uchi-mata;https://www.youtube.com/watch?v=iUpSu5J-bgw
小外掛 / Ko-soto-gake;https://www.youtube.com/watch?v=8b6kY4s4zH4
足車 / Ashi-guruma;https://www.youtube.com/watch?v=ROeayhvom9U
払釣込足 / Harai-tsurikomi-ashi;https://www.youtube.com/watch?v=gGPXvWL8VbE
大車 / O-guruma;https://www.youtube.com/watch?v=SnZciTAY9vc
大外車 / O-soto-guruma;https://www.youtube.com/watch?v=92KbCm6pQeI
大外落 / O-soto-otoshi;https://www.youtube.com/watch?v=2DsVvDw7b8g
燕返 / Tsubame-gaeshi;https://www.youtube.com/watch?v=GwweWqqFB5g
大外返 / O-soto-gaeshi;https://www.youtube.com/watch?v=8ZjM3X_EANo
大内返 / O-uchi-gaeshi;https://www.youtube.com/watch?v=dCyZTXyjIXE
跳腰返 / Hane-goshi-gaeshi;https://www.youtube.com/watch?v=9bZAZSBtnGs
払腰返 / Harai-goshi-gaeshi;https://www.youtube.com/watch?v=4U3It-7PPsc
内股返 / Uchi-mata-gaeshi;https://www.youtube.com/watch?v=Sy6sLWxkWYw
足技 / Ashi-waza;https://www.youtube.com/watch?v=-Xpmgtaypmg
巴投 / Tomoe-nage;https://www.youtube.com/watch?v=880WbHvHv6A
隅返 / Sumi-gaeshi;https://www.youtube.com/watch?v=5VhduA5xkbA
引込返 / Hikikomi-gaeshi;https://www.youtube.com/watch?v=92zUYWBp5N8
俵返 / Tawara-gaeshi;https://www.youtube.com/watch?v=TmTWgrmViZc
裏投 / Ura-nage;https://www.youtube.com/watch?v=Fgi9b8DJ5sQ
真捨身技 / Ma-sutemi-waza;https://www.youtube.com/watch?v=LnjW67efl00
横落 / Yoko-otoshi;https://www.youtube.com/watch?v=MnNG67pF_a0
谷落 / Tani-otoshi;https://www.youtube.com/watch?v=3b9Me3Fohpk
跳巻込 / Hane-makikomi;https://www.youtube.com/watch?v=6CRBGLGz9j8
外巻込 / Soto-makikomi;https://www.youtube.com/watch?v=bWG9O1BVKtQ
内巻込 / Uchi-makikomi;https://www.youtube.com/watch?v=5BowcjduxVc
浮技 / Uki-waza;https://www.youtube.com/watch?v=weVOpJ63gII
横分 / Yoko-wakare;https://www.youtube.com/watch?v=bp1tscHlePI
横車 / Yoko-guruma;https://www.youtube.com/watch?v=MehP6I5cY2c
横掛 / Yoko-gake;https://www.youtube.com/watch?v=tP1Sj1uDfSo
抱分 / Daki-wakare;https://www.youtube.com/watch?v=Hr0cOMGBDYo
大外巻込 / O-soto-makikomi;https://www.youtube.com/watch?v=DGDv2oMwmas
内股巻込 / Uchi-mata-makikomi;https://www.youtube.com/watch?v=jZXENTLpJCI
払巻込 /  Harai-makikomi;https://www.youtube.com/watch?v=VBaHzKaCXss
小内巻込 /  Ko-uchi-makikomi;https://www.youtube.com/watch?v=_1eygIXLD_w
蟹挟 /  Kani-basami;https://www.youtube.com/watch?v=OR-HGHnarYc
河津掛 /  Kawazu-gake;https://www.youtube.com/watch?v=w6G57bWACi0
横捨身技 / Yoko-sutemi-waza;https://www.youtube.com/watch?v=ml_eSxz8OMo
袈裟固 /  Kesa-gatame;https://www.youtube.com/watch?v=NDaQuJOFBYk
袈裟固の逃れ方 /  Kesa-gatame Escapes;https://www.youtube.com/watch?v=5_TS0YHdxcQ
崩袈裟固 /  Kuzure-kesa-gatame;https://www.youtube.com/watch?v=Q2fb9jaoUFQ
崩袈裟固の逃れ方 /  Kuzure-kesa-gatame Escapes;https://www.youtube.com/watch?v=-zFQ6h4yKT4
後袈裟固 /  Ushiro-kesa-gatame;https://www.youtube.com/watch?v=SBapox2M2dE
後袈裟固の逃れ方 /  Ushiro-kesa-gatame Escapes;https://www.youtube.com/watch?v=4QuzAAucQsA
肩固 /  Kata-gatame;https://www.youtube.com/watch?v=zQR3IOXxO_Q
肩固の逃れ方 /  Kata-gatame Escapes;https://www.youtube.com/watch?v=7hP1-W2yovk
上四方固 /  Kami-shiho-gatame;https://www.youtube.com/watch?v=HFuMjOv0WN8
上四方固の逃れ方 /  Kami-siho-gatame Escapes;https://www.youtube.com/watch?v=seGsXy9I4G8
崩上四方固 /  Kuzure-kami-shiho-gatame;https://www.youtube.com/watch?v=YUrogQWdwiY
崩上四方固の逃れ方 /  Kuzure-kami-siho-gatame Escapes;https://www.youtube.com/watch?v=PPe7E_7d7UI
横四方固 /  Yoko-shiho-gatame;https://www.youtube.com/watch?v=TT7XJVSEQxA
横四方固の逃れ方 /  Yoko-shiho-gatame Escapes;https://www.youtube.com/watch?v=yK_GSamSPko
縦四方固 /  Tate-shiho-gatame;https://www.youtube.com/watch?v=55-rFmBx53g
縦四方固の逃れ方 /  Tate-shiho-gatame Escapes;https://www.youtube.com/watch?v=JMJBjnst_DA
浮固 /  Uki-gatame;https://www.youtube.com/watch?v=e_lAjik1SUM
浮固の逃れ方 /  Uki-gatame Escapes;https://www.youtube.com/watch?v=AMHWDFR4ryo
裏固 /  Ura-gatame;https://www.youtube.com/watch?v=eeAHZB0v3XY
裏固の逃れ方 /  Ura-gatame Escapes;https://www.youtube.com/watch?v=0aY2Tmchzs8
抑込技 / Osaekomi-waza;https://www.youtube.com/watch?v=guJ-HlAKEA8
並十字絞 /  Nami-juji-jime;https://www.youtube.com/watch?v=k2cHry9HByQ
逆十字絞 /  Gyaku-juji-jime;https://www.youtube.com/watch?v=t3tQriIPdlI
片十字絞 /  Kata-juji-jime;https://www.youtube.com/watch?v=3VZVUAmiMD8
裸絞 /  Hadaka-jime;https://www.youtube.com/watch?v=9f0n8jez7iA
送襟絞 /  Okuri-eri-jime;https://www.youtube.com/watch?v=EiqyoVcIAi8
